Country Code,Change,Description of Change,Date Issued,Source
AD,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AD.
AD,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AD.
AD,Subdivisions added: 7 parishes.,Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
AE,"Change of spelling of AE-AJ, AE-RK; addition of local variation of AE-FU, AE-RK, AE-UQ; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AE.
AE,Error correction: Spelling correction in AE-AZ.,,2002-08-20,Newsletter I-3 - https://web.archive.org/web/20081218103236/http://www.iso.org/iso/iso_3166-2_newsletter_i-3_en.pdf.
AE,Spelling correction in AE-RK.,,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20081218103157/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
AF,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AF.
AF,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AF.
AF,Correction of the local short name; change romanization system; change of spelling of categories of pus and fas; change of spelling of AF-KNR; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AF.
AF,Codes: AF-LOW Lowgar -> AF-LOG Lōgar. AF-ORU Orūzgān -> AF-URU Uruzgān.,"Language corrections, administrative name corrections, alphabetical re-ordering and source list update.",2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
AF,Subdivisions added: AF-DAY Dāykondī. AF-PAN Panjshīr.,Addition of 2 provinces. Update of list source.,2005-09-13,Newsletter I-7 - https://web.archive.org/web/20081218103217/http://www.iso.org/iso/iso_3166-2_newsletter_i-7_en.pdf.
AF,Subdivisions added: AF-KHO Khowst. AF-NUR Nūrestān.,Addition of 2 provinces. Update of list source.,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20081218103224/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
AG,"Subdivisions added: 6 parishes, 1 dependency.",Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
AG,Change spelling of AG-04.,,2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AG.
AG,Subdivisions added: AG-11 Redonda.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
AI,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AI.
AL,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AL.
AL,Change of subdivision category from préfecture to comté in French; deletion of all districts; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AL.
AL,Separation of the variant local short names by semi-colon.,,2014-04-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AL.
AL,Codes: format changed (leading digit 0 added).,Addition of the country code prefix as the first code element.,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
AL,Change of generic term for administrative divisions. New list source.,,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20081218103224/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
AL,Subdivisions added: 12 prefectures (now called counties). Codes: AL-LA Laç -> AL-KB Kurbin.,Introduction of 12 prefectures with their code elements. One district name and its code element changed. One district name corrected. Attribution of the prefecture code element to each district.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20081218103157/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
AM,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AM.
